learner_id,course_id,completion_rate,time_spent_hours,rating,action_completee,entreprise_lancee
L0018,CRS016,0.75,2.2,5,non,non
L0018,CRS015,0.25,0.5,2,non,non
L0018,CRS001,0.74,4.3,4,non,non
L0018,CRS003,0.74,2.0,5,non,non
L0018,CRS010,0.52,1.4,1,non,non
L0018,CRS008,0.3,0.9,3,non,oui
L0018,CRS013,0.53,1.4,1,non,non
L0018,CRS019,0.7,1.4,4,non,non
L0018,CRS020,0.01,0.0,4,non,non
L0018,CRS011,0.18,0.3,4,non,non
L0019,CRS013,0.07,0.3,1,non,non
L0019,CRS016,0.81,4.7,3,oui,non
L0020,CRS020,0.91,2.6,5,oui,non
L0020,CRS025,0.62,2.6,1,non,non
L0020,CRS024,0.21,0.5,1,non,non
L0020,CRS008,0.17,0.3,1,non,non
L0020,CRS017,0.69,2.5,1,non,non
L0020,CRS013,0.71,3.3,5,non,oui
L0020,CRS015,0.23,0.6,2,non,non
L0021,CRS008,0.6,3.1,3,non,non
L0021,CRS021,0.47,1.3,4,non,non
L0021,CRS005,0.5,1.9,1,non,non
L0021,CRS009,0.89,4.3,5,non,non
L0021,CRS023,0.96,5.1,5,oui,oui
L0021,CRS003,0.76,3.9,5,non,oui
L0021,CRS002,0.76,2.7,5,non,non
L0021,CRS006,0.18,0.7,4,non,non
L0021,CRS010,0.47,1.6,3,non,non
L0022,CRS011,0.5,2.2,4,non,non
L0022,CRS014,0.55,2.0,3,non,non
L0022,CRS023,0.12,0.6,1,non,non
L0023,CRS015,0.2,0.8,3,non,non
L0023,CRS014,0.7,1.4,2,non,non
L0023,CRS002,0.31,0.5,4,non,non
L0023,CRS007,0.99,5.6,5,oui,non
L0023,CRS017,0.15,0.9,3,non,non
L0023,CRS012,0.27,1.4,4,non,non
L0023,CRS016,0.55,1.8,2,non,non
L0023,CRS025,0.28,1.4,4,non,non
L0023,CRS023,0.79,2.1,3,non,non
L0024,CRS019,0.54,1.6,4,non,non
L0024,CRS022,0.32,0.8,2,non,non
L0024,CRS016,0.23,1.1,1,non,non
L0024,CRS005,0.47,2.6,4,non,non
L0024,CRS015,0.66,3.4,2,non,non
L0025,CRS005,0.5,2.1,1,non,non
L0026,CRS004,0.47,2.8,3,non,non
L0026,CRS017,0.4,0.7,3,non,non
L0026,CRS015,0.86,2.8,4,oui,non
L0026,CRS001,0.49,1.9,1,non,non
L0026,CRS005,0.68,1.9,2,non,non
L0026,CRS014,0.43,0.8,1,non,non
L0026,CRS021,0.69,3.8,1,non,non
L0026,CRS003,0.06,0.2,4,non,non
L0027,CRS014,0.5,2.1,2,non,non
L0027,CRS019,0.25,0.7,1,non,non
L0027,CRS022,0.47,1.3,2,non,oui
L0027,CRS006,0.95,5.6,4,oui,non
L0027,CRS023,0.25,1.3,2,non,non
L0027,CRS021,0.85,1.7,5,oui,non
L0027,CRS003,0.99,2.8,5,non,non
L0027,CRS013,0.69,3.3,1,non,non
L0027,CRS008,0.75,3.9,4,non,non
L0028,CRS020,0.19,0.5,2,non,non
L0028,CRS012,0.9,4.0,4,oui,oui
L0028,CRS008,0.36,0.8,3,non,non
L0028,CRS021,0.42,1.0,3,non,non
L0029,CRS006,0.87,4.5,5,oui,non
L0029,CRS009,0.97,5.2,5,oui,non
L0029,CRS016,0.37,1.9,1,non,non
L0029,CRS010,0.12,0.4,3,non,non
L0029,CRS024,0.82,4.7,3,oui,non
L0030,CRS018,0.14,0.8,3,non,non
L0030,CRS011,0.12,0.3,2,non,non
L0030,CRS020,0.37,2.1,4,non,non
L0030,CRS008,0.73,4.0,3,non,non
L0030,CRS021,0.62,3.5,3,non,oui
L0030,CRS003,0.37,1.3,2,non,non
L0030,CRS015,0.1,0.5,3,non,oui
L0030,CRS010,0.28,1.6,4,non,non
L0030,CRS014,0.21,0.9,1,non,oui
L0030,CRS004,0.33,2.0,2,non,oui
L0031,CRS007,0.99,3.9,4,non,non
L0031,CRS019,0.13,0.4,2,non,non
L0031,CRS025,0.02,0.1,2,non,non
L0031,CRS008,0.53,2.6,4,non,non
L0031,CRS011,0.36,1.5,4,non,non
L0031,CRS005,0.95,1.6,5,non,non
L0031,CRS001,0.03,0.2,4,non,non
L0031,CRS009,0.11,0.5,4,non,oui
L0031,CRS020,0.08,0.3,1,non,non
L0032,CRS021,0.1,0.5,2,non,non
L0032,CRS019,0.89,3.0,5,non,non
L0032,CRS018,0.31,0.9,3,non,non
L0032,CRS011,0.15,0.8,1,non,non
L0032,CRS013,0.09,0.3,3,non,non
L0032,CRS020,0.56,2.3,3,non,non
L0032,CRS017,0.41,2.2,4,non,non
L0032,CRS010,0.72,4.2,5,non,non
L0032,CRS015,0.1,0.4,2,non,non
L0032,CRS014,0.22,0.4,3,non,non
L0033,CRS019,0.82,3.5,5,non,non
L0033,CRS008,0.83,2.2,4,non,non
L0033,CRS014,0.92,2.8,4,oui,non
L0033,CRS018,0.4,0.9,1,non,non
L0033,CRS025,0.53,1.7,4,non,non
L0034,CRS010,0.88,1.9,5,non,non
L0034,CRS024,0.44,1.5,4,non,non
L0034,CRS011,0.22,0.8,3,non,non
L0034,CRS019,0.28,1.3,4,non,non
L0034,CRS020,0.31,0.8,1,non,oui
L0034,CRS003,0.3,0.7,2,non,non
L0035,CRS011,0.43,0.9,2,non,non
L0035,CRS004,0.83,4.3,3,non,non
L0035,CRS001,0.44,1.6,1,non,non
L0035,CRS016,0.58,2.4,4,non,non
L0035,CRS024,0.41,2.4,2,non,non
L0036,CRS015,0.4,1.2,3,non,non
L0036,CRS023,0.78,1.4,3,non,non
L0036,CRS012,0.19,0.9,3,non,non
L0036,CRS003,0.82,4.2,4,non,non
L0036,CRS014,0.17,0.4,1,non,non
L0036,CRS004,0.77,2.9,5,non,non
L0036,CRS008,0.45,2.5,3,non,non
L0036,CRS021,0.63,1.4,1,non,non
L0036,CRS013,0.63,3.2,1,non,non
L0036,CRS022,0.07,0.3,1,non,oui
L0037,CRS003,0.46,1.8,1,non,non
L0037,CRS021,0.81,3.6,4,oui,non
L0037,CRS020,0.96,3.4,4,oui,non
L0037,CRS017,0.65,1.1,4,non,non
L0037,CRS013,0.52,2.2,3,non,non
L0038,CRS013,0.6,3.0,3,non,oui
L0038,CRS014,0.09,0.4,3,non,non
L0038,CRS025,0.85,5.0,5,oui,non
L0038,CRS011,0.58,1.2,3,non,non
L0038,CRS022,0.66,3.0,2,non,non
L0039,CRS010,0.38,1.9,2,non,non
L0039,CRS018,0.83,4.0,5,non,non
L0040,CRS012,0.23,0.5,1,non,non
L0040,CRS001,0.79,3.0,5,non,non
L0040,CRS025,0.88,1.5,4,oui,non
L0040,CRS010,0.6,1.3,2,non,non
L0040,CRS006,0.77,4.0,4,non,non
L0040,CRS007,0.04,0.1,2,non,non
L0040,CRS011,0.61,3.0,4,non,non
L0040,CRS016,0.24,1.4,4,non,non
L0040,CRS020,0.19,0.9,4,non,non
L0041,CRS025,0.82,4.2,4,oui,oui
L0041,CRS013,0.48,1.5,1,non,non
L0041,CRS017,0.52,1.1,1,non,non
L0041,CRS014,0.27,1.5,2,non,non
L0041,CRS006,0.09,0.5,4,non,non
L0042,CRS014,0.05,0.2,2,non,non
L0043,CRS012,0.03,0.2,3,non,non
L0043,CRS008,0.14,0.4,4,non,non
L0044,CRS025,0.45,0.7,1,non,oui
L0044,CRS023,0.22,0.5,4,non,non
L0044,CRS016,0.29,0.8,1,non,non
L0045,CRS020,0.14,0.5,3,non,non
L0045,CRS015,0.42,1.9,1,non,non
L0045,CRS003,0.36,2.1,1,non,non
L0045,CRS004,0.47,2.0,3,non,non
L0045,CRS016,0.02,0.1,3,non,non
L0045,CRS025,0.66,1.3,3,non,non
L0045,CRS018,0.35,1.1,2,non,non
L0045,CRS001,0.68,4.0,4,non,non
L0045,CRS017,0.81,1.4,5,non,non
L0045,CRS008,0.79,4.3,4,non,non
L0045,CRS012,0.52,3.1,4,non,non
L0046,CRS007,0.4,1.4,4,non,non
L0046,CRS010,0.19,0.9,3,non,non
L0046,CRS012,0.52,2.7,4,non,oui
L0046,CRS002,0.6,3.1,3,non,non
L0046,CRS021,0.08,0.4,3,non,non
L0046,CRS011,0.72,1.6,5,non,non
L0046,CRS009,0.04,0.2,3,non,non
L0046,CRS004,0.43,1.9,1,non,oui
L0046,CRS023,0.64,2.0,2,non,non
L0046,CRS014,0.14,0.6,4,non,oui
L0046,CRS015,0.07,0.4,3,non,non
L0047,CRS002,0.53,1.7,3,non,non
L0047,CRS020,0.11,0.5,4,non,non
L0047,CRS005,0.91,1.8,4,oui,non
L0047,CRS022,0.61,2.8,4,non,non
L0047,CRS015,0.14,0.3,2,non,non
L0047,CRS012,0.45,0.9,3,non,non
L0047,CRS024,0.71,2.8,4,non,non
L0047,CRS021,0.85,4.0,4,oui,non
L0047,CRS003,0.12,0.3,2,non,non
L0047,CRS023,0.49,1.5,3,non,non
L0048,CRS005,0.77,4.0,3,non,non
L0048,CRS020,0.32,0.6,4,non,non
L0048,CRS003,0.34,1.9,2,non,non
L0048,CRS023,0.13,0.5,1,non,non
L0048,CRS010,0.52,1.5,2,non,non
L0048,CRS013,0.71,2.2,5,non,non
L0048,CRS016,0.85,2.2,5,non,non
L0048,CRS017,0.61,1.2,2,non,non
L0048,CRS014,0.58,1.3,3,non,non
L0049,CRS002,0.5,2.2,3,non,non
L0049,CRS001,0.3,0.8,4,non,non
L0049,CRS003,0.07,0.1,4,non,non
L0049,CRS025,0.46,1.4,2,non,non
L0049,CRS021,0.72,3.5,4,non,non
L0049,CRS019,0.13,0.4,1,non,non
L0049,CRS009,0.47,1.3,2,non,non
L0049,CRS007,0.05,0.3,4,non,non
L0049,CRS014,0.87,1.9,4,oui,non
L0049,CRS024,0.19,0.4,4,non,non
L0050,CRS016,0.46,1.2,3,non,oui
L0050,CRS001,0.28,1.2,4,non,non
L0050,CRS003,0.01,0.0,2,non,non
L0050,CRS013,0.73,3.6,4,non,oui
L0050,CRS017,0.05,0.2,3,non,non
L0051,CRS013,0.45,1.8,1,non,non
L0051,CRS017,0.1,0.3,3,non,non
L0052,CRS025,0.5,0.9,2,non,non
L0052,CRS005,0.8,3.1,4,non,non
L0052,CRS007,0.52,1.5,3,non,non
L0052,CRS020,0.99,4.8,4,oui,non
L0052,CRS017,0.51,1.9,3,non,non
L0052,CRS013,0.02,0.1,1,non,non
L0053,CRS010,0.58,1.3,4,non,non
L0053,CRS024,0.68,1.1,1,non,non
L0053,CRS023,0.44,1.5,4,non,non
L0053,CRS021,0.41,2.0,4,non,non
L0053,CRS001,0.74,1.3,4,non,non
L0053,CRS020,0.56,3.4,4,non,non
L0053,CRS016,0.31,0.7,3,non,non
L0053,CRS009,0.68,3.7,3,non,non
L0053,CRS008,0.19,0.5,3,non,non
L0053,CRS002,0.97,2.8,4,oui,non
L0054,CRS011,0.38,2.2,3,non,non
L0054,CRS016,0.8,2.2,4,non,non
L0054,CRS012,0.08,0.5,3,non,non
L0054,CRS018,0.21,1.1,3,non,non
L0054,CRS009,0.7,1.5,2,non,non
L0054,CRS010,0.67,2.6,2,non,oui
L0054,CRS004,0.41,1.9,1,non,non
L0054,CRS022,0.14,0.8,2,non,non
L0055,CRS016,0.65,1.7,1,non,non
L0055,CRS021,0.18,1.0,2,non,non
L0055,CRS007,0.04,0.2,4,non,non
L0055,CRS010,0.75,4.1,4,non,non
L0055,CRS011,0.01,0.0,1,non,non
L0055,CRS022,0.34,1.2,4,non,non
L0055,CRS002,0.13,0.5,3,non,non
L0055,CRS003,0.11,0.2,4,non,non
L0056,CRS006,0.67,1.6,2,non,non
L0056,CRS001,0.94,1.4,5,non,non
L0056,CRS011,0.95,2.7,5,non,non
L0056,CRS010,0.69,1.2,1,non,non
L0056,CRS019,0.16,0.7,3,non,non
L0056,CRS007,0.64,3.7,3,non,non
L0056,CRS025,0.22,0.5,2,non,non
L0056,CRS013,0.99,3.1,5,oui,non
L0056,CRS014,0.8,4.2,4,non,non
L0056,CRS023,0.6,3.0,4,non,non
L0056,CRS002,0.36,2.0,1,non,oui
L0056,CRS020,0.55,2.1,2,non,non
L0057,CRS015,0.81,2.9,5,oui,non
L0057,CRS004,0.56,2.5,3,non,non
L0057,CRS022,0.4,2.1,2,non,non
L0057,CRS007,0.05,0.2,1,non,non
L0057,CRS019,0.06,0.3,4,non,oui
L0057,CRS016,0.41,2.0,4,non,non
L0057,CRS003,0.89,3.1,5,non,non
L0057,CRS017,0.66,2.6,3,non,non
L0057,CRS025,0.99,3.2,4,oui,non
L0058,CRS025,0.02,0.1,4,non,non
L0059,CRS008,0.28,1.6,1,non,oui
L0059,CRS015,0.66,2.8,1,non,non
L0059,CRS012,0.07,0.3,4,non,non
L0059,CRS005,0.7,1.2,1,non,non
L0060,CRS018,0.14,0.8,2,non,non
L0060,CRS007,0.73,2.1,5,non,non
L0060,CRS025,0.82,2.1,4,oui,non
L0060,CRS002,0.41,1.1,2,non,non
L0061,CRS018,0.32,1.1,2,non,non
L0061,CRS016,0.18,0.7,2,non,non
L0061,CRS002,0.3,1.4,4,non,non
L0061,CRS012,0.56,3.3,2,non,non
L0061,CRS021,0.25,0.7,1,non,non
L0061,CRS013,0.85,1.6,4,non,non
L0061,CRS017,0.6,1.0,1,non,non
L0062,CRS024,0.94,5.5,3,oui,non
L0062,CRS022,0.91,4.2,4,non,non
L0062,CRS018,0.32,0.9,4,non,non
L0062,CRS007,0.36,1.0,4,non,non
L0062,CRS016,0.8,3.8,4,non,non
L0062,CRS025,0.37,1.2,2,non,non
L0062,CRS011,0.02,0.1,4,non,non
L0062,CRS010,0.2,0.5,2,non,non
L0062,CRS001,0.65,3.0,3,non,non
L0062,CRS020,0.49,2.3,4,non,non
L0063,CRS012,0.07,0.4,1,non,non
L0063,CRS006,0.41,2.2,2,non,oui
L0063,CRS005,0.15,0.4,4,non,non
L0063,CRS018,0.62,2.8,4,non,non
L0063,CRS016,0.02,0.1,4,non,oui
L0063,CRS024,0.53,1.5,3,non,oui
L0063,CRS022,0.81,3.7,4,non,non
L0063,CRS002,0.15,0.4,3,non,non
L0063,CRS017,0.27,0.9,3,non,non
L0063,CRS019,0.46,1.2,2,non,non
L0063,CRS014,0.83,1.5,3,non,non
L0063,CRS015,0.55,1.0,1,non,non
L0064,CRS016,0.64,1.9,1,non,non
L0064,CRS014,0.92,2.3,5,oui,oui
L0065,CRS022,0.9,3.6,3,non,non
L0065,CRS009,0.02,0.0,2,non,non
L0066,CRS013,0.14,0.8,1,non,non
L0066,CRS003,0.97,1.7,5,non,oui
L0066,CRS010,0.61,2.6,4,non,non
L0066,CRS006,0.33,1.4,4,non,non
L0066,CRS019,0.36,2.1,4,non,non
L0066,CRS008,0.59,1.9,3,non,non
L0066,CRS021,0.71,1.3,4,non,non
L0066,CRS025,0.78,1.7,5,non,non
L0066,CRS011,0.11,0.2,3,non,non
L0066,CRS018,0.76,1.5,3,non,non
L0066,CRS016,0.45,1.8,4,non,non
L0066,CRS012,0.09,0.4,3,non,non
L0067,CRS010,0.41,2.1,2,non,non
L0068,CRS022,0.14,0.4,4,non,non
L0068,CRS013,0.17,0.5,3,non,non
L0068,CRS006,0.08,0.2,2,non,non
L0069,CRS020,0.95,2.8,5,non,non
L0069,CRS025,0.44,1.5,2,non,non
L0069,CRS007,0.6,2.8,4,non,non
L0069,CRS015,0.96,5.6,4,oui,non
L0069,CRS004,0.97,4.9,4,non,non
L0069,CRS005,0.39,0.8,2,non,non
L0069,CRS010,0.55,2.5,1,non,non
L0069,CRS001,0.46,2.2,4,non,non
L0070,CRS003,0.07,0.4,4,non,non
L0070,CRS014,0.53,3.0,4,non,non
L0070,CRS022,0.79,2.5,5,non,non
L0070,CRS016,0.91,1.8,4,oui,non
L0070,CRS005,0.65,1.1,4,non,non
L0070,CRS010,0.33,1.7,1,non,oui
L0070,CRS008,0.26,1.0,2,non,non
L0070,CRS009,0.39,1.9,2,non,non
L0070,CRS021,0.02,0.0,4,non,non
L0070,CRS024,0.09,0.5,2,non,non
L0070,CRS013,0.34,1.7,4,non,non
L0070,CRS007,0.1,0.5,4,non,non
L0071,CRS002,0.65,3.0,2,non,non
L0071,CRS023,0.74,2.8,5,non,non
L0071,CRS004,0.56,3.3,2,non,non
L0071,CRS001,0.63,1.5,4,non,non
L0071,CRS011,0.74,4.1,5,non,non
L0072,CRS001,0.1,0.5,2,non,non
L0072,CRS023,0.2,0.4,4,non,non
L0072,CRS007,0.64,2.7,4,non,non
L0072,CRS024,0.35,1.9,2,non,non
L0072,CRS009,0.71,2.0,5,non,non
L0072,CRS003,0.67,1.9,2,non,non
L0072,CRS019,0.18,0.8,4,non,non
L0073,CRS019,0.19,0.8,2,non,non
L0073,CRS013,0.49,1.0,3,non,non
L0073,CRS014,0.62,3.3,1,non,non
L0074,CRS013,0.49,2.2,4,non,non
L0074,CRS018,0.44,1.0,1,non,non
L0074,CRS017,0.22,0.4,2,non,non
L0074,CRS021,0.17,0.6,4,non,non
L0075,CRS019,0.27,1.1,3,non,non
L0075,CRS004,0.76,3.7,5,non,non
L0076,CRS004,0.26,1.4,1,non,non
L0076,CRS024,0.99,4.9,4,non,non
L0076,CRS021,0.69,3.7,4,non,non
L0076,CRS008,0.14,0.3,2,non,non
L0076,CRS010,0.57,2.2,2,non,non
L0076,CRS002,0.7,2.0,3,non,non
L0076,CRS015,0.51,2.8,1,non,non
L0077,CRS002,0.71,3.7,5,non,non
L0077,CRS009,0.58,1.6,4,non,non
L0077,CRS021,0.08,0.4,1,non,non
L0077,CRS005,0.75,3.5,4,non,non
L0077,CRS022,0.49,2.0,1,non,non
L0077,CRS008,0.46,2.1,3,non,non
L0077,CRS023,0.8,2.6,5,non,non
L0078,CRS009,0.79,4.4,3,non,oui
L0078,CRS011,0.63,3.3,1,non,non
L0078,CRS010,0.86,3.0,3,oui,non
L0078,CRS024,1.0,5.6,4,non,non
L0078,CRS018,0.27,1.2,3,non,non
L0078,CRS019,0.66,2.9,1,non,non
L0078,CRS005,0.31,1.4,2,non,non
L0078,CRS016,0.09,0.2,2,non,non
L0079,CRS019,0.68,1.0,3,non,non
L0079,CRS008,0.99,3.4,4,oui,non
L0079,CRS017,0.09,0.5,1,non,non
L0080,CRS005,0.14,0.5,1,non,non
L0080,CRS013,0.16,0.5,2,non,non
L0080,CRS025,0.15,0.5,4,non,non
L0080,CRS021,0.09,0.2,1,non,non
L0080,CRS022,0.38,2.2,3,non,non
L0081,CRS009,0.55,2.3,3,non,non
L0081,CRS021,0.69,3.7,3,non,non
L0081,CRS003,0.61,1.4,4,non,non
L0081,CRS008,0.05,0.3,2,non,non
L0082,CRS008,0.64,1.2,1,non,non
L0082,CRS016,0.93,1.9,5,oui,non
L0083,CRS025,0.02,0.0,3,non,non
L0083,CRS016,0.92,5.3,5,oui,non
L0083,CRS003,0.5,1.7,4,non,non
L0084,CRS018,0.97,2.1,4,non,non
L0084,CRS020,0.83,3.8,3,non,non
L0084,CRS005,0.95,2.4,4,non,non
L0084,CRS009,0.45,1.9,3,non,non
L0084,CRS003,0.66,1.5,1,non,non
L0084,CRS010,0.7,1.6,3,non,non
L0084,CRS021,0.78,3.7,4,non,non
L0084,CRS017,0.75,4.1,3,non,non
L0084,CRS007,0.03,0.2,3,non,non
L0085,CRS023,0.46,1.4,4,non,non
L0085,CRS019,0.17,0.4,1,non,non
L0085,CRS021,0.67,1.4,1,non,oui
L0085,CRS003,0.86,2.2,5,non,non
L0085,CRS016,0.18,1.0,1,non,non
L0086,CRS024,0.12,0.5,1,non,non
L0086,CRS021,0.8,4.7,5,non,oui
L0086,CRS014,0.47,1.3,3,non,non
L0086,CRS008,0.55,0.8,2,non,non
L0086,CRS011,0.78,3.8,4,non,non
L0086,CRS022,0.59,2.2,2,non,non
L0086,CRS023,0.55,2.8,2,non,oui
L0086,CRS025,0.41,1.0,3,non,non
L0086,CRS009,0.69,1.1,3,non,oui
L0086,CRS003,0.66,3.5,3,non,non
L0086,CRS010,0.53,1.4,4,non,non
L0086,CRS006,0.97,2.1,4,non,non
L0087,CRS014,0.64,2.1,1,non,non
L0087,CRS023,0.96,2.5,4,oui,non
L0087,CRS012,0.39,2.0,3,non,non
L0087,CRS015,0.27,0.5,2,non,non
L0087,CRS003,0.77,1.5,3,non,non
L0087,CRS019,0.47,1.6,3,non,non
L0087,CRS004,0.21,0.6,3,non,non
L0087,CRS017,0.09,0.5,3,non,non
L0087,CRS005,0.7,1.2,3,non,non
L0088,CRS008,0.56,2.2,1,non,non
L0088,CRS012,0.8,1.7,3,non,oui
L0088,CRS013,0.78,2.0,4,non,non
L0088,CRS017,0.37,1.6,1,non,non
L0088,CRS002,0.26,1.3,1,non,non
L0088,CRS010,0.2,0.9,2,non,non
L0088,CRS009,0.85,4.4,3,non,non
L0088,CRS006,0.17,0.7,4,non,non
L0088,CRS001,0.38,1.3,3,non,non
L0088,CRS023,0.19,0.5,2,non,oui
L0088,CRS014,0.62,1.6,3,non,non
L0088,CRS025,0.88,3.2,3,non,non
L0089,CRS021,0.79,4.7,4,non,non
L0089,CRS017,0.78,2.4,5,non,non
L0089,CRS008,0.39,0.9,3,non,non
L0089,CRS018,0.03,0.2,3,non,oui
L0090,CRS017,0.27,1.4,1,non,non
L0090,CRS012,0.95,3.9,5,non,non
L0090,CRS019,0.85,1.9,5,non,non
L0090,CRS008,0.36,1.5,3,non,non
L0090,CRS006,0.56,2.3,2,non,non
L0090,CRS004,0.81,4.8,5,non,non
L0090,CRS022,0.09,0.2,2,non,oui
L0090,CRS023,0.48,1.4,2,non,non
L0091,CRS023,0.59,3.3,1,non,non
L0091,CRS006,0.86,5.0,4,oui,non
L0091,CRS011,0.59,1.8,3,non,non
L0091,CRS002,0.16,0.9,4,non,non
L0091,CRS001,0.17,1.0,3,non,non
L0091,CRS005,0.59,1.4,3,non,non
L0092,CRS005,0.95,3.1,5,non,non
L0092,CRS006,0.92,5.4,4,oui,non
L0092,CRS024,0.5,1.5,1,non,non
L0092,CRS001,0.98,2.2,3,oui,non
L0092,CRS023,0.73,2.2,3,non,non
L0093,CRS023,0.79,3.7,3,non,non
L0093,CRS003,0.73,4.3,5,non,non
L0093,CRS012,0.38,1.5,1,non,non
L0093,CRS009,0.79,3.2,4,non,non
L0094,CRS002,0.02,0.1,1,non,oui
L0094,CRS010,0.17,0.5,1,non,non
L0095,CRS011,0.99,5.5,3,oui,non
L0095,CRS020,0.61,2.1,1,non,non
L0096,CRS007,0.72,3.4,4,non,non
L0096,CRS014,0.3,0.6,4,non,non
L0096,CRS023,0.84,1.8,4,non,non
L0096,CRS018,0.82,3.5,5,non,oui
L0097,CRS021,0.47,0.9,4,non,non
L0097,CRS010,0.89,2.4,5,non,non
L0097,CRS003,0.38,0.9,1,non,non
L0098,CRS009,0.67,3.4,4,non,non
L0098,CRS008,0.59,2.4,4,non,non
L0098,CRS025,0.42,1.6,4,non,non
L0098,CRS019,0.24,0.7,4,non,non
L0098,CRS002,0.71,2.7,5,non,non
L0098,CRS005,0.68,2.9,1,non,non
L0098,CRS004,0.45,2.6,2,non,non
L0098,CRS003,0.81,1.7,5,non,non
L0099,CRS021,0.32,1.5,1,non,non
L0099,CRS005,0.56,2.2,3,non,non
L0099,CRS020,0.92,1.4,5,oui,non
L0099,CRS009,0.11,0.2,1,non,non
L0100,CRS025,0.04,0.1,2,non,non
L0100,CRS004,0.68,2.2,4,non,non
L0100,CRS010,0.33,0.8,4,non,non
L0100,CRS018,0.9,1.4,4,non,non
L0100,CRS012,0.86,3.9,4,non,non
L0100,CRS014,0.44,2.3,3,non,non
L0100,CRS009,0.6,1.1,4,non,non
